kode_satker,kementerian,nama_satker,kode_barang,nup,koordinat,luas,jenis_barang,nama_barang,SURAT JAWABAN PENGGUNA BARANG,TANGGAL SURAT JAWABAN PENGGUNA BARANG,HASIL JAWABAN,PEMETAAN AWAL BERBASIS KEYWORD,TAHAP_BERIKUT,PENYAMPAIAN_KLARIFIKASI_REKAP,FLAG_REKONSILIASI_D_E,CATATAN_REKONSILIASI,id
088012200667882000KD,BADAN KEPEGAWAIAN NEGARA,Kantor Regional X BKN Denpasar,4010202004,1,"-8.715251244248794, 115.21851310165908",120.0,Rumah Negara,Rumah Negara Golongan II Tipe B Permanen,157/B-PL.03.05/SD/KR.X/2026,46147.0,Digunakan pegawai,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-1
088012200667882000KD,BADAN KEPEGAWAIAN NEGARA,Kantor Regional X BKN Denpasar,4010201010,7,"-8.714740001416551, 115.21826934783658",57.0,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,157/B-PL.03.05/SD/KR.X/2026,46147.0,Digunakan pegawai,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-2
075012200437344000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,STASIUN GEOFISIKA SANGLAH,4010202010,1,"-8.67678238, 115.20989664",50.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,e.B/PL.08.01/ 005 /KDNP/VII/2026,46230.0,Dalam pembahasan hibah ke Pemkab Karangasem,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-3
075012200437344000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,STASIUN GEOFISIKA SANGLAH,4010202013,2,"-8.67678238, 115.20989664",36.0,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,e.B/PL.08.01/ 005 /KDNP/VII/2026,46230.0,Dalam pembahasan hibah ke Pemkab Karangasem,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-4
075012200437344000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,STASIUN GEOFISIKA SANGLAH,4010202010,2,,50.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,e.B/PL.08.01/ 005 /KDNP/VII/2026,46230.0,Dalam pembahasan hibah ke Pemkab Karangasem,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-5
075012200437344000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,STASIUN GEOFISIKA SANGLAH,4010202010,3,,50.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,e.B/PL.08.01/ 005 /KDNP/VII/2026,46230.0,Dalam pembahasan hibah ke Pemkab Karangasem,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-6
075012200437338000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,Stasiun Meteorologi Ngurah Rai Denpasar,4010202010,12,,50.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,e.T/PL.08.01/001/KDPS/IV/2026,46118.0,Sedang digunakan berdasarkan kep izin penghunian rumah negara ,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-7
075012200437792000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,Balai Besar MKG Wilayah III Denpasar,4010101001,15,"-8.738478617262539, 115.17855489613203",100.0,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,e.B/PL.08.01/ 007 /KBB3/III/2026 ,46112.0,sedang dan masih dipergunakan untuk gedung penyimpanan arsip-arsip,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-8
075012200437338000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,Stasiun Meteorologi Ngurah Rai Denpasar,4010202007,16,,70.0,Rumah Negara,Rumah Negara Golongan II Tipe C Permanen,e.T/PL.08.01/001/KDPS/IV/2026,46118.0,Sedang digunakan berdasarkan kep izin penghunian rumah negara ,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-9
075012200437338000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,Stasiun Meteorologi Ngurah Rai Denpasar,4010202010,20,,46.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,e.T/PL.08.01/001/KDPS/IV/2026,46118.0,Sedang digunakan berdasarkan kep izin penghunian rumah negara ,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-10
075012200437338000KD,BADAN METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,Stasiun Meteorologi Ngurah Rai Denpasar,4010202010,22,,46.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,e.T/PL.08.01/001/KDPS/IV/2026,46118.0,Sedang digunakan berdasarkan kep izin penghunian rumah negara ,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-11
004012200579220000KD,BADAN PEMERIKSA KEUANGAN,BPK RI PERWAKILAN PROVINSI BALI (01),4010201013,1,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,74/B/S/DJPKN-VI.DPS/BMN.01/02/2026,46076.0,"- Tidak ditemukan pada master aset
- Tidak memiliki aset dengan kode barang tersebut
- Tidak ada dalam pengelolaan Aset BPK Perwakilan Provinsi Bali",Anomali data/pencatatan atau perubahan organisasi,PENELITIAN,SUDAH,-,-,BMN-12
004012200579220000KD,BADAN PEMERIKSA KEUANGAN,BPK RI PERWAKILAN PROVINSI BALI (01),2010101001,1,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,74/B/S/DJPKN-VI.DPS/BMN.01/02/2026,46076.0,"- Tidak ditemukan pada master aset
- Tidak memiliki aset dengan kode barang tersebut
- Tidak ada dalam pengelolaan Aset BPK Perwakilan Provinsi Bali",Anomali data/pencatatan atau perubahan organisasi,PENELITIAN,SUDAH,-,-,BMN-13
004012200579220000KD,BADAN PEMERIKSA KEUANGAN,BPK RI PERWAKILAN PROVINSI BALI (01),4010101001,3,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,74/B/S/DJPKN-VI.DPS/BMN.01/02/2026,46076.0,Telah dilakukan Reklasifikasi Aset ke Bangunan Gedung Perpustakaan Permanen (4010116011) NUP 1,Anomali data/pencatatan atau perubahan organisasi,PENELITIAN,SUDAH,-,-,BMN-14
004012200579220000KD,BADAN PEMERIKSA KEUANGAN,BPK RI PERWAKILAN PROVINSI BALI (01),4.010101001E9,4,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,74/B/S/DJPKN-VI.DPS/BMN.01/02/2026,46076.0,Telah dilakukan Reklasifikasi Aset ke Gedung Pos Jaga Permanen (410113001) NUP 1,Anomali data/pencatatan atau perubahan organisasi,PENELITIAN,SUDAH,-,-,BMN-15
